"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","annual_avg_estabs","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_chg","oty_annual_avg_estabs_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"49000","0","10","50","0","2018","A","",103577,1478493,71726471120,32836976889,160904271,933,48513,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",4674,4.7,47905,3.3,5096749225,7.6,2404153528,7.9,-23140939,-12.6,37,4.1,1938,4.2
"49001","0","10","70","0","2018","A","",239,2809,98095054,54053202,405443,671,34917,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-4,-1.6,111,4.1,3642909,3.9,4115735,8.2,111530,37.9,-2,-0.3,-93,-0.3
"49003","0","10","70","0","2018","A","",1415,21101,816476934,452444977,2053398,744,38694,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",54,4.0,737,3.6,58079939,7.7,35397909,8.5,-238516,-10.4,28,3.9,1451,3.9
"49005","0","10","70","0","2018","A","",3723,55723,2086338923,1025690247,3730376,720,37441,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",98,2.7,1335,2.5,123737793,6.3,58712795,6.1,-1094490,-22.7,26,3.7,1355,3.8
"49007","0","10","70","0","2018","A","",621,8451,349943691,165096462,1062468,796,41410,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",8,1.3,413,5.1,33306655,10.5,12456846,8.2,-72819,-6.4,38,5.0,2017,5.1
"49009","0","10","70","0","2018","A","",48,372,12002779,4010759,60887,621,32287,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-3,-5.9,-1,-0.3,-1026167,-7.9,152647,4.0,-1962,-3.1,-51,-7.6,-2674,-7.6
"49011","0","10","70","0","2018","A","",8733,129895,5936370712,2645272915,13103849,879,45701,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",369,4.4,3887,3.1,400524287,7.2,211910596,8.7,-2191907,-14.3,34,4.0,1769,4.0
"49013","0","10","70","0","2018","A","",790,7737,351299519,161677577,1738332,873,45405,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",17,2.2,-47,-0.6,2001373,0.6,-1830930,-1.1,-85149,-4.7,10,1.2,533,1.2
"49015","0","10","70","0","2018","A","",257,3221,143959341,63299612,611644,860,44701,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",20,8.4,191,6.3,13165293,10.1,8481943,15.5,31694,5.5,30,3.6,1530,3.5
"49017","0","10","70","0","2018","A","",252,2375,71686187,35587751,931489,580,30186,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",1,0.4,-70,-2.9,-2593658,-3.5,-755923,-2.1,-70105,-7.0,-4,-0.7,-194,-0.6
"49019","0","10","70","0","2018","A","",584,5867,198846318,118143295,1371534,652,33890,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",30,5.4,254,4.5,17141193,9.4,9247156,8.5,-69790,-4.8,30,4.8,1520,4.7
"49021","0","10","70","0","2018","A","",1662,18460,627761479,315372629,1299323,654,34007,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",108,6.9,1060,6.1,51516918,8.9,30194278,10.6,-262284,-16.8,17,2.7,889,2.7
"49023","0","10","70","0","2018","A","",292,3691,128417324,59975763,257768,669,34788,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",15,5.4,170,4.8,8483199,7.1,3701234,6.6,-36922,-12.5,14,2.1,721,2.1
