"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","annual_avg_estabs","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_chg","oty_annual_avg_estabs_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"49000","5","5112","56","0","2018","A","",641,10768,1296647437,415277024,1458538,2316,120412,"",2.15,2.60,2.20,2.34,1.70,0.85,0.85,"",74,13.1,670,6.6,192456501,17.4,40868876,10.9,-93229,-6.0,213,10.1,11062,10.1
"49005","5","5112","76","0","2018","A","N",7,0,0,0,0,0,0,"N",0.65,0,0,0,0,0,0,"N",-1,-12.5,0,0,0,0,0,0,0,0,0,0,0,0
"49011","5","5112","76","0","2018","A","",32,183,13589686,6021993,27034,1431,74430,"",1.27,0.50,0.28,0.42,0.39,0.55,0.56,"",1,3.2,9,5.2,2221368,19.5,661627,12.3,4317,19.0,175,13.9,9095,13.9
"49017","5","5112","76","0","2018","A","N",0,0,0,0,0,0,0,"N",0.00,0,0,0,0,0,0,"N",-1,-100.0,0,0,0,0,0,0,0,0,0,0,0,0
"49021","5","5112","76","0","2018","A","N",2,0,0,0,0,0,0,"N",0.42,0,0,0,0,0,0,"N",-1,-33.3,0,0,0,0,0,0,0,0,0,0,0,0
"49023","5","5112","76","0","2018","A","N",1,0,0,0,0,0,0,"N",1.19,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"49025","5","5112","76","0","2018","A","N",2,0,0,0,0,0,0,"N",2.10,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0
"49027","5","5112","76","0","2018","A","N",1,0,0,0,0,0,0,"N",0.88,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"49029","5","5112","76","0","2018","A","N",1,0,0,0,0,0,0,"N",0.97,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"49035","5","5112","76","0","2018","A","",405,4911,584050290,198173571,754106,2287,118925,"",3.04,2.50,1.85,2.17,1.70,0.74,0.74,"",53,15.1,143,3.0,68050400,13.2,15952564,8.8,-58967,-7.3,206,9.9,10713,9.9
"49043","5","5112","76","0","2018","A","",19,103,11425354,4918888,28762,2130,110747,"",2.24,1.35,1.10,1.33,1.14,0.82,0.82,"",6,46.2,55,114.6,5446253,91.1,2676969,119.4,20092,231.7,-261,-10.9,-13602,-10.9
"49045","5","5112","76","0","2018","A","",3,6,462875,256387,1588,1618,84159,"",0.90,0.13,0.09,0.15,0.18,0.70,0.70,"N",1,50.0,0,0,0,0,0,0,0,0,0,0,0,0
"49047","5","5112","76","0","2018","A","N",1,0,0,0,0,0,0,"N",0.28,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"49049","5","5112","76","0","2018","A","",143,5303,670059880,196723138,620705,2430,126353,"",2.94,7.79,7.21,6.88,5.43,0.92,0.92,"",12,9.2,461,9.5,115566974,20.8,21148196,12.0,-49029,-7.3,228,10.4,11844,10.3
"49051","5","5112","76","0","2018","A","N",5,0,0,0,0,0,0,"N",1.49,0,0,0,0,0,0,"N",2,66.7,0,0,0,0,0,0,0,0,0,0,0,0
"49053","5","5112","76","0","2018","A","",14,108,6282443,3493315,16058,1120,58216,"",0.81,0.57,0.31,0.48,0.56,0.54,0.54,"",1,7.7,-9,-7.7,-101318,-1.6,-301543,-7.9,-2449,-13.2,66,6.3,3420,6.2
"49057","5","5112","76","0","2018","A","",6,23,1319589,803570,2885,1128,58648,"",0.34,0.08,0.04,0.07,0.05,0.47,0.47,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
