name	mfr	calories	protein	fat	sodium	fiber	carbo	sugars	potass	vitamins	shelf
Apple_Cinnamon_Cheerios	G	110	2	2	180	1.5	10.5	10	70	25	1
Cheerios	G	110	6	2	290	2	17	1	105	25	1
Cinnamon_Toast_Crunch	G	120	1	3	210	0	13	9	45	25	2
Clusters	G	110	3	2	140	2	13	7	105	25	3
Cocoa_Puffs	G	110	1	1	180	0	12	13	55	25	2
Count_Chocula	G	110	1	1	180	0	12	13	65	25	2
Crispy_Wheat_&_Raisins	G	100	2	1	140	2	11	10	120	25	3
Golden_Grahams	G	110	1	1	280	0	15	9	45	25	2
Honey_Nut_Cheerios	G	110	3	1	250	1.5	11.5	10	90	25	1
Kix	G	110	2	1	260	0	21	3	40	25	2
Lucky_Charms	G	110	2	1	180	0	12	12	55	25	2
Multi-Grain_Cheerios	G	100	2	1	220	2	15	6	90	25	1
Raisin_Nut_Bran	G	100	3	2	140	2.5	10.5	8	140	25	3
Total_Corn_Flakes	G	110	2	1	200	0	21	3	35	100	3
Total_Whole_Grain	G	100	3	1	200	3	16	3	110	100	3
Triples	G	110	2	1	250	0	21	3	60	25	3
Trix	G	110	1	1	140	0	13	12	25	25	2
Wheaties	G	100	3	1	200	3	17	3	110	25	1
Wheaties_Honey_Gold	G	110	2	1	200	1	16	8	60	25	1
All-Bran	K	70	4	1	260	9	7	5	320	25	3
All-Bran_with_Extra_Fiber	K	50	4	0	140	14	8	0	330	25	3
Apple_Jacks	K	110	2	0	125	1	11	14	30	25	2
Corn_Flakes	K	100	2	0	290	1	21	2	35	25	1
Corn_Pops	K	110	1	0	90	1	13	12	20	25	2
Cracklin'_Oat_Bran	K	110	3	3	140	4	10	7	160	25	3
Crispix	K	110	2	0	220	1	21	3	30	25	3
Froot_Loops	K	110	2	1	125	1	11	13	30	25	2
Frosted_Flakes	K	110	1	0	200	1	14	11	25	25	1
Frosted_Mini-Wheats	K	100	3	0	0	3	14	7	100	25	2
Just_Right_Crunchy__Nuggets	K	110	2	1	170	1	17	6	60	100	3
Nut&Honey_Crunch	K	120	2	1	190	0	15	9	40	25	2
Nutri-grain_Wheat	K	90	3	0	170	3	18	2	90	25	3
Product_19	K	100	3	0	320	1	20	3	45	100	3
Raisin_Squares	K	90	2	0	0	2	15	6	110	25	3
Rice_Krispies	K	110	2	0	290	0	22	3	35	25	1
Smacks	K	110	2	1	70	1	9	15	40	25	2
Special_K	K	110	6	0	230	1	16	3	55	25	1
Bran_Flakes	P	90	3	0	210	5	13	5	190	25	3
Fruity_Pebbles	P	110	1	1	135	0	13	12	25	25	2
Golden_Crisp	P	100	2	0	45	0	11	15	40	25	1
Grape_Nuts_Flakes	P	100	3	1	140	3	15	5	85	25	3
Grape-Nuts	P	110	3	0	170	3	17	3	90	25	3
Great_Grains_Pecan	P	120	3	3	75	3	13	4	100	25	3
Honey-comb	P	110	1	0	180	0	14	11	35	25	1
