PRICE	RATER
1302	GIA
1510	GIA
1510	GIA
1260	GIA
1641	GIA
1555	GIA
1427	GIA
1427	GIA
1126	GIA
1126	GIA
1468	GIA
1202	GIA
1327	GIA
1098	GIA
1693	GIA
1551	GIA
1410	GIA
1269	GIA
1316	GIA
1222	GIA
1738	GIA
1593	GIA
1447	GIA
1255	GIA
1635	GIA
1485	GIA
1420	GIA
1420	GIA
1911	GIA
1525	GIA
1956	GIA
1747	GIA
1572	GIA
2942	GIA
2532	GIA
3501	GIA
3501	GIA
3501	GIA
3293	GIA
3016	GIA
3567	GIA
3205	GIA
3490	GIA
3635	GIA
3635	GIA
3418	GIA
3921	GIA
3701	GIA
3480	GIA
3407	GIA
3767	GIA
4066	GIA
4138	GIA
3605	GIA
3529	GIA
3667	GIA
2892	GIA
3651	GIA
3773	GIA
4291	GIA
5845	GIA
4401	GIA
4759	GIA
4300	GIA
5510	GIA
5122	GIA
5122	GIA
3861	GIA
5881	GIA
5586	GIA
5193	GIA
5193	GIA
5263	GIA
5441	GIA
4948	GIA
5705	GIA
6805	GIA
6882	GIA
6709	GIA
6682	GIA
3501	GIA
3432	GIA
3851	GIA
3605	GIA
3900	GIA
3415	GIA
4291	GIA
6512	GIA
5800	GIA
6285	GIA
5122	GIA
5122	GIA
5122	GIA
5122	GIA
6372	GIA
5881	GIA
5193	GIA
5961	GIA
5662	GIA
5738	GIA
5030	GIA
5030	GIA
4727	GIA
4221	GIA
5815	GIA
4585	GIA
7368	GIA
4667	GIA
4355	GIA
9885	GIA
6919	GIA
5386	GIA
4832	GIA
7156	GIA
7680	GIA
15582	GIA
11419	GIA
10588	GIA
9757	GIA
13913	GIA
10588	GIA
10713	GIA
9480	GIA
9896	GIA
9619	GIA
9169	GIA
9203	GIA
8788	GIA
8095	GIA
7818	GIA
16008	GIA
10692	GIA
9853	GIA
10272	GIA
9573	GIA
9153	GIA
8873	GIA
8873	GIA
8455	GIA
7895	GIA
10372	GIA
9666	GIA
10090	GIA
10900	GIA
10571	GIA
9563	GIA
8781	GIA
9743	GIA
9302	GIA
8945	GIA
9646	GIA
823	IGI
765	IGI
803	IGI
803	IGI
705	IGI
725	IGI
967	IGI
1050	IGI
967	IGI
863	IGI
800	IGI
842	IGI
800	IGI
758	IGI
880	IGI
880	IGI
705	IGI
638	IGI
919	IGI
1149	IGI
1057	IGI
919	IGI
1198	IGI
1248	IGI
1147	IGI
995	IGI
1108	IGI
1485	IGI
1283	IGI
1149	IGI
1082	IGI
1539	IGI
1365	IGI
1260	IGI
1121	IGI
1595	IGI
1233	IGI
1199	IGI
1471	IGI
1238	IGI
1580	IGI
1459	IGI
1459	IGI
1218	IGI
1299	IGI
1628	IGI
1628	IGI
1337	IGI
1462	IGI
1503	IGI
1773	IGI
1636	IGI
1821	IGI
1540	IGI
2276	IGI
1616	IGI
1506	IGI
2651	IGI
2383	IGI
3652	IGI
3722	IGI
3722	IGI
3095	IGI
3706	IGI
4070	IGI
3470	IGI
4831	IGI
4209	IGI
3821	IGI
5607	IGI
5326	IGI
6160	IGI
6095	IGI
5937	IGI
9342	IGI
9713	IGI
8873	IGI
8175	IGI
3778	HRD
3432	HRD
3851	HRD
3346	HRD
3130	HRD
3995	HRD
3701	HRD
3529	HRD
3667	HRD
3202	HRD
3256	HRD
3415	HRD
3792	HRD
3925	HRD
3421	HRD
3925	HRD
3616	HRD
3615	HRD
3785	HRD
3643	HRD
4300	HRD
6867	HRD
6285	HRD
5800	HRD
5510	HRD
4346	HRD
6372	HRD
5193	HRD
5662	HRD
5333	HRD
6041	HRD
5815	HRD
8611	HRD
6905	HRD
6905	HRD
6416	HRD
6051	HRD
8715	HRD
6988	HRD
6988	HRD
6495	HRD
7358	HRD
6572	HRD
7072	HRD
8359	HRD
6805	HRD
7711	HRD
5835	HRD
13775	HRD
14051	HRD
11419	HRD
10588	HRD
11696	HRD
10588	HRD
10450	HRD
9896	HRD
9203	HRD
9480	HRD
9065	HRD
8788	HRD
8788	HRD
8372	HRD
8095	HRD
7818	HRD
13909	HRD
11531	HRD
10692	HRD
11811	HRD
10272	HRD
9993	HRD
9293	HRD
9433	HRD
9153	HRD
8873	HRD
8175	HRD
10796	HRD
9890	HRD
8959	HRD
9107	HRD
