Day,	Outlook,	Temperature,	Humidity,	Wind
D1,	Overcast,	Cool,	High,	Weak
D2,	Sunny,	Cool,	Normal,	Weak
D3,	Sunny,	Mild,	High,	Strong
D4,	Overcast,	Mild,	High,	Weak
D5,	Sunny,	Mild,	Normal,	Weak
D6,	Overcast,	Hot,	Normal,	Weak
D7,	Rain,	Hot,	High,	Weak
D8,	Overcast,	Cool,	Normal,	Weak
D9,	Overcast,	Hot,	High,	Weak
D10,	Rain,	Cool,	High,	Strong
D11,	Overcast,	Cool,	Normal,	Strong
D12,	Sunny,	Cool,	High,	Strong
D13,	Rain,	Hot,	Normal,	Strong
D14,	Overcast,	Mild,	High,	Weak
D15,	Sunny,	Mild,	Normal,	Weak
D16,	Overcast,	Cool,	High,	Weak
D17,	Rain,	Hot,	High,	Strong
D18,	Rain,	Cool,	Normal,	Strong
D19,	Sunny,	Cool,	High,	Strong
D20,	Sunny,	Cool,	Normal,	Weak
D21,	Overcast,	Cool,	High,	Weak
D22,	Rain,	Hot,	High,	Strong
D23,	Overcast,	Hot,	Normal,	Strong
D24,	Rain,	Mild,	Normal,	Weak
D25,	Sunny,	Cool,	Normal,	Strong
D26,	Sunny,	Hot,	High,	Strong
D27,	Overcast,	Hot,	Normal,	Weak
D28,	Overcast,	Cool,	Normal,	Strong
D29,	Overcast,	Cool,	High,	Weak
D30,	Sunny,	Cool,	High,	Weak
D31,	Overcast,	Cool,	Normal,	Weak
D32,	Overcast,	Mild,	High,	Weak
D33,	Overcast,	Hot,	High,	Strong
D34,	Rain,	Mild,	High,	Strong
D35,	Rain,	Mild,	Normal,	Strong
D36,	Sunny,	Mild,	Normal,	Weak
D37,	Rain,	Mild,	Normal,	Strong
D38,	Overcast,	Hot,	Normal,	Weak
D39,	Overcast,	Mild,	Normal,	Strong
D40,	Sunny,	Hot,	High,	Weak
D41,	Sunny,	Mild,	High,	Strong
D42,	Overcast,	Cool,	Normal,	Weak
D43,	Overcast,	Hot,	Normal,	Strong
D44,	Sunny,	Cool,	High,	Weak
D45,	Rain,	Cool,	Normal,	Weak
D46,	Rain,	Cool,	High,	Weak
D47,	Rain,	Mild,	Normal,	Strong
D48,	Rain,	Mild,	High,	Strong
D49,	Rain,	Hot,	High,	Strong
D50,	Rain,	Hot,	High,	Strong
D51,	Overcast,	Hot,	Normal,	Strong
D52,	Rain,	Cool,	High,	Strong
D53,	Sunny,	Cool,	Normal,	Weak
D54,	Overcast,	Cool,	Normal,	Strong
D55,	Overcast,	Hot,	Normal,	Weak
D56,	Overcast,	Mild,	Normal,	Strong
D57,	Sunny,	Cool,	High,	Weak
D58,	Overcast,	Cool,	High,	Strong
D59,	Rain,	Mild,	Normal,	Weak
D60,	Rain,	Hot,	Normal,	Strong
D61,	Overcast,	Hot,	High,	Weak
D62,	Sunny,	Hot,	Normal,	Weak
D63,	Sunny,	Hot,	Normal,	Strong
D64,	Overcast,	Hot,	High,	Strong
D65,	Rain,	Cool,	High,	Weak
D66,	Overcast,	Hot,	High,	Strong
D67,	Rain,	Cool,	Normal,	Weak
D68,	Rain,	Mild,	Normal,	Strong
D69,	Rain,	Mild,	Normal,	Strong
D70,	Overcast,	Cool,	High,	Strong
D71,	Sunny,	Cool,	Normal,	Strong
D72,	Overcast,	Mild,	Normal,	Strong
D73,	Sunny,	Mild,	High,	Weak
D74,	Rain,	Hot,	Normal,	Weak
D75,	Rain,	Cool,	High,	Strong
D76,	Sunny,	Hot,	Normal,	Weak
D77,	Sunny,	Mild,	High,	Weak
D78,	Sunny,	Cool,	Normal,	Strong
D79,	Overcast,	Cool,	High,	Strong
D80,	Overcast,	Mild,	High,	Strong
D81,	Overcast,	Mild,	High,	Weak
D82,	Overcast,	Cool,	High,	Strong
D83,	Overcast,	Hot,	High,	Strong
D84,	Rain,	Hot,	High,	Strong
D85,	Sunny,	Mild,	High,	Weak
D86,	Sunny,	Hot,	Normal,	Weak
D87,	Rain,	Mild,	High,	Strong
D88,	Sunny,	Hot,	Normal,	Weak
D89,	Overcast,	Cool,	High,	Strong
D90,	Sunny,	Mild,	Normal,	Weak
D91,	Rain,	Hot,	High,	Weak
D92,	Rain,	Mild,	Normal,	Strong
D93,	Sunny,	Mild,	Normal,	Weak
D94,	Sunny,	Cool,	High,	Strong
D95,	Overcast,	Hot,	High,	Weak
D96,	Sunny,	Hot,	High,	Strong
D97,	Overcast,	Mild,	High,	Weak
