Number,	 SepLen,	 SepWid,	 PetLen,	 PetWid,	 Class
0,	 SepLen1,	 SepWid3,	 PetLen0,	 PetWid0,	 Yes
1,	 SepLen0,	 SepWid2,	 PetLen0,	 PetWid0,	 Yes
2,	 SepLen0,	 SepWid2,	 PetLen0,	 PetWid0,	 Yes
3,	 SepLen0,	 SepWid2,	 PetLen0,	 PetWid0,	 Yes
4,	 SepLen0,	 SepWid3,	 PetLen0,	 PetWid0,	 Yes
5,	 SepLen1,	 SepWid3,	 PetLen0,	 PetWid0,	 Yes
6,	 SepLen0,	 SepWid2,	 PetLen0,	 PetWid0,	 Yes
7,	 SepLen0,	 SepWid2,	 PetLen0,	 PetWid0,	 Yes
8,	 SepLen0,	 SepWid1,	 PetLen0,	 PetWid0,	 Yes
9,	 SepLen0,	 SepWid2,	 PetLen0,	 PetWid0,	 Yes
10,	 SepLen1,	 SepWid3,	 PetLen0,	 PetWid0,	 Yes
11,	 SepLen0,	 SepWid2,	 PetLen0,	 PetWid0,	 Yes
12,	 SepLen0,	 SepWid2,	 PetLen0,	 PetWid0,	 Yes
13,	 SepLen0,	 SepWid2,	 PetLen0,	 PetWid0,	 Yes
14,	 SepLen2,	 SepWid4,	 PetLen0,	 PetWid0,	 Yes
15,	 SepLen1,	 SepWid4,	 PetLen0,	 PetWid0,	 Yes
16,	 SepLen1,	 SepWid3,	 PetLen0,	 PetWid0,	 Yes
17,	 SepLen1,	 SepWid3,	 PetLen0,	 PetWid0,	 Yes
18,	 SepLen1,	 SepWid3,	 PetLen0,	 PetWid0,	 Yes
19,	 SepLen1,	 SepWid3,	 PetLen0,	 PetWid0,	 Yes
20,	 SepLen1,	 SepWid2,	 PetLen0,	 PetWid0,	 Yes
21,	 SepLen1,	 SepWid3,	 PetLen0,	 PetWid0,	 Yes
22,	 SepLen0,	 SepWid3,	 PetLen0,	 PetWid0,	 Yes
23,	 SepLen1,	 SepWid2,	 PetLen0,	 PetWid0,	 Yes
24,	 SepLen0,	 SepWid2,	 PetLen0,	 PetWid0,	 Yes
25,	 SepLen0,	 SepWid2,	 PetLen0,	 PetWid0,	 Yes
26,	 SepLen0,	 SepWid2,	 PetLen0,	 PetWid0,	 Yes
27,	 SepLen1,	 SepWid3,	 PetLen0,	 PetWid0,	 Yes
28,	 SepLen1,	 SepWid2,	 PetLen0,	 PetWid0,	 Yes
29,	 SepLen0,	 SepWid2,	 PetLen0,	 PetWid0,	 Yes
30,	 SepLen0,	 SepWid2,	 PetLen0,	 PetWid0,	 Yes
31,	 SepLen1,	 SepWid2,	 PetLen0,	 PetWid0,	 Yes
32,	 SepLen1,	 SepWid4,	 PetLen0,	 PetWid0,	 Yes
33,	 SepLen1,	 SepWid4,	 PetLen0,	 PetWid0,	 Yes
34,	 SepLen0,	 SepWid2,	 PetLen0,	 PetWid0,	 Yes
35,	 SepLen0,	 SepWid2,	 PetLen0,	 PetWid0,	 Yes
36,	 SepLen1,	 SepWid3,	 PetLen0,	 PetWid0,	 Yes
37,	 SepLen0,	 SepWid3,	 PetLen0,	 PetWid0,	 Yes
38,	 SepLen0,	 SepWid2,	 PetLen0,	 PetWid0,	 Yes
39,	 SepLen1,	 SepWid2,	 PetLen0,	 PetWid0,	 Yes
40,	 SepLen0,	 SepWid3,	 PetLen0,	 PetWid0,	 Yes
41,	 SepLen3,	 SepWid2,	 PetLen3,	 PetWid2,	 No
42,	 SepLen2,	 SepWid2,	 PetLen2,	 PetWid2,	 No
43,	 SepLen3,	 SepWid2,	 PetLen3,	 PetWid2,	 No
44,	 SepLen1,	 SepWid0,	 PetLen2,	 PetWid2,	 No
45,	 SepLen3,	 SepWid1,	 PetLen3,	 PetWid2,	 No
46,	 SepLen1,	 SepWid1,	 PetLen2,	 PetWid2,	 No
47,	 SepLen2,	 SepWid2,	 PetLen3,	 PetWid3,	 No
48,	 SepLen0,	 SepWid0,	 PetLen1,	 PetWid1,	 No
49,	 SepLen3,	 SepWid1,	 PetLen3,	 PetWid2,	 No
50,	 SepLen1,	 SepWid1,	 PetLen2,	 PetWid2,	 No
51,	 SepLen0,	 SepWid0,	 PetLen2,	 PetWid1,	 No
52,	 SepLen2,	 SepWid2,	 PetLen2,	 PetWid2,	 No
53,	 SepLen2,	 SepWid0,	 PetLen2,	 PetWid1,	 No
54,	 SepLen2,	 SepWid1,	 PetLen3,	 PetWid2,	 No
55,	 SepLen1,	 SepWid1,	 PetLen2,	 PetWid2,	 No
56,	 SepLen3,	 SepWid2,	 PetLen2,	 PetWid2,	 No
57,	 SepLen1,	 SepWid2,	 PetLen2,	 PetWid2,	 No
58,	 SepLen2,	 SepWid1,	 PetLen2,	 PetWid1,	 No
59,	 SepLen2,	 SepWid0,	 PetLen2,	 PetWid2,	 No
60,	 SepLen1,	 SepWid1,	 PetLen2,	 PetWid2,	 No
61,	 SepLen2,	 SepWid2,	 PetLen3,	 PetWid3,	 No
62,	 SepLen2,	 SepWid1,	 PetLen2,	 PetWid2,	 No
63,	 SepLen2,	 SepWid1,	 PetLen3,	 PetWid2,	 No
64,	 SepLen2,	 SepWid1,	 PetLen3,	 PetWid2,	 No
65,	 SepLen2,	 SepWid1,	 PetLen2,	 PetWid2,	 No
66,	 SepLen3,	 SepWid2,	 PetLen2,	 PetWid2,	 No
67,	 SepLen3,	 SepWid1,	 PetLen3,	 PetWid2,	 No
68,	 SepLen3,	 SepWid2,	 PetLen3,	 PetWid3,	 No
69,	 SepLen2,	 SepWid1,	 PetLen2,	 PetWid2,	 No
70,	 SepLen1,	 SepWid1,	 PetLen2,	 PetWid1,	 No
71,	 SepLen1,	 SepWid0,	 PetLen2,	 PetWid2,	 No
72,	 SepLen1,	 SepWid0,	 PetLen2,	 PetWid1,	 No
73,	 SepLen2,	 SepWid1,	 PetLen2,	 PetWid2,	 No
74,	 SepLen2,	 SepWid1,	 PetLen3,	 PetWid3,	 No
75,	 SepLen1,	 SepWid2,	 PetLen2,	 PetWid2,	 No
76,	 SepLen2,	 SepWid2,	 PetLen2,	 PetWid3,	 No
77,	 SepLen3,	 SepWid2,	 PetLen3,	 PetWid2,	 No
